word	lemma
10 Years of Time Team presented a round- up what has happened in over the past years and they expect to happen future.	10 year of Time team present a round- up what have happen in over the past year and they expect to happen future.
13 October 1962 marked the initial working session of Council.	13 October 1962 mark the initial working session of Council.
1945 Overhauled, Indianapolis joined Vice Admiral MarcA. Mitscher's fast carrier task force on 14 February.	1945 overhaul, Indianapolis join vice Admiral MarcA. Mitscher's fast carrier task force on 14 February.
1965 was also the deadline for AAFSS selection, but program would become stuck in technical difficulties and political bickering.	1965 be also the deadline for AAFSS selection, but program would become stick in technical difficulty and political bickering.
"1969 to 1982 The British Telecom"" T symbol logo, used from 1980 1991 In 1977 the Carter Committee Report recommended a further division of two main services and for their relocation under individual corporations."	"1969 to 1982 the British Telecom"" T symbol logo, use from 1980 1991 in 1977 the Carter Committee report recommend a further division of two main service and for they relocation under individual corporation."
1970s Frankenheimer followed this with I Walk the Line in 1970.	1970 Frankenheimer follow this with I walk the line in 1970.
2008 season For Following a disappointing 7– 9 record in the 2007, Saints ended 8.	2008 season for follow a disappointing 7- 9 record in the 2007, Saints end 8.
2010: Philosophy of Mathematics Selected Writings collects important writings by Peirce on the subject, many not previously in print.	2010: philosophy of Mathematics select writing collect important writings by Peirce on the subject, many not previously in print.
2. The Henry Schaefer grant was from the Origins of Biological Complexity program	2. the Henry Schaefer grant be from the origin of biological Complexity program
30,000 barrels/ day of crude imports are processed into various motor fuels and asphalt by the Petrojam Refinery in Kingston.	30,000 barrel/ day of crude import be process into various motor fuel and asphalt by the Petrojam Refinery in Kingston.
3. Opera as a genre: Joyce had lifelong preoccupation with opera generic precedent for his own fiction	3. Opera as a genre: Joyce have lifelong preoccupation with opera generic precedent for he own fiction
4. Unusual presentation of the disease	4. unusual presentation of the disease
50% of new legal residents come from Argentina and Brazil.	50% of new legal resident come from Argentina and Brazil.
5 ruble coin of Alexander III, 1888 Despite chilly relations with Berlin the Tsar nevertheless confined himself to keeping a large number troops near German frontier.	5 ruble coin of Alexander III, 1888 despite chilly relation with Berlin the Tsar nevertheless confine himself to keep a large number troops near german frontier.
802.11 aq IEEE is an amendment to the standard that will enablepre-association discovery of services.	802.11 aq ieee be a amendment to the standard that will enablepre-association discovery of service.
"8. No illness presented in people who were/ are not exposed to"" common ventilation systems( have separate closed) when is seen persons close proximity a system"	"8. no illness present in people who be/ be not expose to"" common ventilation system( have separate close) when be see person close proximity a system"
$ 990M USD had been spent in the last full year.	$ 990M usd have be spend in the last full year.
9th place match All times are local( UTC- 7).	9th place match all time be local( UTC- 7).
A 13- year old boy was killed and another seriously wounded.	a 13- year old boy be kill and another seriously wounded.
A 16th century book by Georg Agricola called De re metallica describes the highly developed and complex processes of mining metal ores, extraction metallurgy time.	a 16th century book by Georg Agricola call De re metallica describe the highly develop and complex process of mining metal ore, extraction metallurgy time.
A 1941 Stalin directive ordered the suicide of every Red Army officer and soldier rather than surrender; Soviet law regarded all captured soldiers as traitors.	a 1941 Stalin directive order the suicide of every Red Army officer and soldier rather than surrender; Soviet law regard all capture soldier as traitor.
A 1991 article byJ.Polchinski also supports the view thatinter-world communication is a theoretical possibility.	a 1991 article byJ.Polchinski also support the view thatinter-world communication be a theoretical possibility.
"A 2000 parliamentary report from the center- left Olive Tree coalition concluded that"" strategy of tension had been supported by United States in order to impede PCI, and a lesser measure PSI reaching executive power."	"a 2000 parliamentary report from the center- leave Olive Tree coalition conclude that"" strategy of tension have be support by United States in order to impede pci, and a lesser measure PSI reach executive power."
