sentence	lemma
sentence	sentence
"I did n't know it was police housing , "" officers quoted Tsuchida as saying ."	"I do not know it be police housing , "" officer quote Tsuchida as say ."
"You would be a great client for Southern Indiana Homeownership 's credit counseling but you are saying to yourself "" Oh , we can pay that off . """	"you would be a great client for Southern Indiana Homeownership 's credit counseling but you be say to yourself "" oh , we can pay that off . """
"He believes the 21st century will be the "" century of biology "" just as the 20th century was the century of IT ."	"he believe the 21st century will be the "" century of biology "" just as the 20th century be the century of it ."
They even call the civil rights organization a bit hypocritical .	they even call the civil rights organization a bit hypocritical .
But while VRE is not a threat to healthy individuals , it s effect on the four HIV patients is potentially serious .	but while VRE be not a threat to healthy individual , it be effect on the four hiv patient be potentially serious .
Earlier on Tuesday , roadside bombs , including one that exploded near Asadabad , killed five policeman , one of them a Kunar district police chief .	earlier on Tuesday , roadside bomb , include one that explode near Asadabad , kill five policeman , one of they a Kunar district police chief .
It was very quick , â€ Boilini said .	it be very quick , â€ Boilini say .
Serra ( 16 - 8 ) and Chadwick ( 11 - 12 ) meet in a first - round match on Friday .	Serra ( 16 - 8 ) and Chadwick ( 11 - 12 ) meet in a first - round match on Friday .
At the same time , new figures revealed that incidents of violent crime in Britain had risen nine percent in the last three months of 2004 .	at the same time , new figure reveal that incident of violent crime in Britain have rise nine percent in the last three month of 2004 .
People who qualify will get help paying for their drug plan 's monthly premium and / or for some of the cost they would normally have to pay for their prescriptions .	people who qualify will get help pay for they drug plan 's monthly premium and / or for some of the cost they would normally have to pay for they prescription .
It has much more commercial potential .	it have much more commercial potential .
Search for your new home - if you 're for a home in San Diego , CA .	search for you new home - if you be for a home in San Diego , CA .
Lehrer asked Driver which issues raised by the public were not addressed .	Lehrer ask driver which issue raise by the public be not address .
Excluding items , the company had a profit of 20 cents a share .	exclude item , the company have a profit of 20 cent a share .
Eleven countries received a total of 13,438 metric tonnes of exemptions for the first post - phase - out year of 2005 .	eleven country receive a total of 13,438 metric tonne of exemption for the first post - phase - out year of 2005 .
Victory got several one - on - one chances at the Hillers net but had trouble finishing .	Victory get several one - on - one chance at the Hillers net but have trouble finish .
It showed a slight strain , but the Giants chose to be extra cautious with Alou since he 's had the same calf problem before .	it show a slight strain , but the Giants choose to be extra cautious with Alou since he be have the same calf problem before .
Despite declining revenue , Private Business CEO Henry Baroco says the company is on the right track .	despite decline revenue , private business ceo Henry Baroco say the company be on the right track .
He averaged 11.4 points and 4.0 assists per game .	he average 11.4 point and 4.0 assist per game .
Stephanie Kaput had the lone goal for the Mighty Macs .	Stephanie Kaput have the lone goal for the Mighty Macs .
While that number was the same in the Fall survey , only 46 % of students were looking to buy a device at that time .	while that number be the same in the fall survey , only 46 % of student be look to buy a device at that time .
Microsoft is preparing one final update to Windows 2000 .	Microsoft be prepare one final update to window 2000 .
Was this an independent initiative or was the US behind it ?	be this a independent initiative or be the US behind it ?
The first field testing was likely to be in Cyprus against recently found anti - tank mines placed in an urban area with anti - move devices attached , Richards said .	the first field testing be likely to be in Cyprus against recently find anti - tank mine place in a urban area with anti - move device attach , Richards say .
Mr Wall said he hoped a film theatre would be part of the leisure facilities on offer at the site .	Mr Wall say he hope a film theatre would be part of the leisure facility on offer at the site .
They will be interviewed from 10 a.m. until noon on Thursday , May 19 , and then the riding competition starts at 1 p.m. in the main arena .	they will be interview from 10 a.m. until noon on Thursday , May 19 , and then the riding competition start at 1 p.m. in the main arena .
We can only take the best player who is available .	we can only take the best player who be available .
Rounding first , Hinske pumped his fist when it landed in the seats , almost as if he knew a two - run lead would be enough with Halladay cruising and the Yankees scuffling .	round first , Hinske pump he fist when it land in the seat , almost as if he know a two - run lead would be enough with Halladay cruise and the Yankees scuffle .
I fell in love with the sport almost immediately .	I fall in love with the sport almost immediately .
Yeah , it is special , said Woods , who shot one - under 71 in the final round and regained the world No . 1 ranking with the victory .	yeah , it be special , say Woods , who shoot one - under 71 in the final round and regain the world no . 1 rank with the victory .
It will not be published .	it will not be publish .
As Matthews neared graduation in 1984 , he said he was uncertain as to what his next step would be - only that it had to involve the weather .	as Matthews near graduation in 1984 , he say he be uncertain as to what he next step would be - only that it have to involve the weather .
Be 'er Sheva 's only hope of survival is to beat champion Maccabi Haifa , while both Haifa and Sakhnin lose .	be 'er Sheva 's only hope of survival be to beat champion Maccabi Haifa , while both Haifa and Sakhnin lose .
Media duties handled by Aegis Group 's Carat are not included in the review .	media duty handle by Aegis Group 's Carat be not include in the review .
Cleveland Indians 3 - 2 Thursday to snap their four - game losing streak .	Cleveland Indians 3 - 2 Thursday to snap they four - game lose streak .
But hey , if you like to see guys fall on their head , then this was a zillion stars .	but hey , if you like to see guy fall on they head , then this be a zillion star .
More successful are Zhan McClarnon and Michael Spears as the Sioux brothers Running Fox and Dog Star .	more successful be Zhan McClarnon and Michael Spears as the Sioux brother Running Fox and Dog Star .
Use our search for homes feature to find a home that is right for you in San Diego .	use we search for home feature to find a home that be right for you in San Diego .
Special GPS and communications module options are also available .	special gps and communication module option be also available .
A year later , as a Texas freshman , Jones shattered the Longhorns ' record in the 100 meters - 10.14 seconds .	a year later , as a Texas freshman , Jones shattered the Longhorns 's record in the 100 meter - 10.14 seconds .
The 3 - point shot , spreading like dandelions in college basketball .	the 3 - point shot , spread like dandelion in college basketball .
Baril , a Richmond lawyer once nominated for a federal prosecutors job , endorsed a faith - based drug initiative in local jails patterned after the Henrico County jails therapeutic program called Project R.I.S.E .	Baril , a Richmond lawyer once nominate for a federal prosecutor job , endorse a faith - base drug initiative in local jail pattern after the Henrico County jail therapeutic program call Project R.I.S.E .
Just as important , he had a great foil across the net .	just as important , he have a great foil across the net .
Many defenders of Joseph Ratzinger 's appointment as pope are arguing that his conservatism will make him generally popular among Catholics .	many defender of Joseph Ratzinger 's appointment as pope be argue that he conservatism will make he generally popular among Catholics .
Again , these objects , which also tend to wreak havoc in their neighborhoods by pouring out huge amounts of deadly radiation , represent specific causes .	again , these object , which also tend to wreak havoc in they neighborhood by pour out huge amount of deadly radiation , represent specific cause .
Lynda and Bum went to Russia in March of 1998 to visit him , and they went to the farm Vasiliev Sr . manages .	Lynda and Bum go to Russia in March of 1998 to visit he , and they go to the farm Vasiliev sr . manage .
Producers Processors Index , which has advanced 13 percent .	Producers Processors index , which have advanced 13 percent .
It was designed by Edward Burgess , and was used to sail to the North Atlantic fishing grounds for cod .	it be design by Edward Burgess , and be use to sail to the North Atlantic fishing grounds for cod .
The 2006 U.S. Senate showdown will have some third - party flair .	the 2006 U.S. Senate showdown will have some third - party flair .
It was alleged the cycling great urinated in a glass of champagne his wife was drinking and on another occasion threatened to rip her arms off .	it be allege the cycling great urinate in a glass of champagne he wife be drink and on another occasion threaten to rip she arm off .
If you could go anywhere on vacation , where would you go ?	if you could go anywhere on vacation , where would you go ?
"The Oscar winner is taking legal action against Michael Clayton - who claims to be a "" look - a - like and sound - a - like double "" of the star - insisting he is passing himself off as the real thing ."	"the Oscar winner be take legal action against Michael Clayton - who claim to be a "" look - a - like and sound - a - like double "" of the star - insist he be pass himself off as the real thing ."
Marietta Christian School is currently registering students for the fall 2005 - 2006 school year .	Marietta Christian school be currently register student for the fall 2005 - 2006 school year .
Registration will be held between 9 - 9:45 p.m. , with competition following .	registration will be hold between 9 - 9:45 p.m. , with competition follow .
China on Monday said its ties with Japan were at a 30 - year low and repeated it would not apologise for the series of protests after a second day of talks between Mr Machimura and China 's Foreign Minister , Li Zhaoxing .	China on Monday say its tie with Japan be at a 30 - year low and repeat it would not apologise for the series of protest after a second day of talk between Mr Machimura and China 's Foreign Minister , Li Zhaoxing .
Well it is a priority for me .	well it be a priority for I .
Others are grateful that something is being done to resolve this problem that has been a heavy burden on the diocese for a long time , and not only for the diocese but for the victims as well he said .	other be grateful that something be be do to resolve this problem that have be a heavy burden on the diocese for a long time , and not only for the diocese but for the victim as well he say .
Allstate officials said earlier this year that it paid about $ 2 billion in claims after Hurricanes Charley , Frances , Ivan and Jeanne hit Florida last year .	Allstate official say earlier this year that it pay about $ 2 billion in claim after Hurricanes Charley , Frances , Ivan and Jeanne hit Florida last year .
"But Leeds chairman Ken Bates described the Black Cats ' latest offer as "" derisory "" , insisting the Yorkshire club will not be selling one of their prize assets ."	"but Leeds chairman Ken Bates describe the black cat 's latest offer as "" derisory "" , insist the Yorkshire club will not be sell one of they prize asset ."
Marian Central is offering a week - long tennis camp sessions for beginners , advanced beginners and high school varsity athletes .	Marian Central be offer a week - long tennis camp session for beginner , advanced beginner and high school varsity athlete .
"Bragg , N.C. , on Tuesday evening , with a call "" to complete a mission "" the U.S. has started in Iraq ."	"Bragg , N.C. , on Tuesday evening , with a call "" to complete a mission "" the U.S. have start in Iraq ."
Coach Christi Kurta 's club ( 1 - 1 ) plays at Harrison Friday .	coach Christi Kurta 's club ( 1 - 1 ) play at Harrison Friday .
He said that after he had his law degree his first job had been with the Federal Trade Commission .	he say that after he have he law degree he first job have be with the Federal Trade Commission .
If we get to that point , we would win the battle of public opinion . 65 Paul Konerko doubled down the left - field line in the seventh , moved to third on Jermaine Dye& # 8217 ;s fly to right and scored on an error by shortstop Jhonny Peralta , who booted Aaron Rowand& # 8217 ;s one - out grounder .	if we get to that point , we would win the battle of public opinion . 65 Paul Konerko double down the left - field line in the seventh , move to third on Jermaine Dye& # 8217 ;s fly to right and score on a error by shortstop Jhonny Peralta , who boot Aaron Rowand& # 8217 ;s one - out grounder .
It 'll be a fresh Bruce who runs in Sacramento tonight after winning the NCAA Western Regional in the rain in Eugene , Ore. , two weeks ago at 8:38.33 .	it will be a fresh Bruce who run in Sacramento tonight after win the NCAA western Regional in the rain in Eugene , Ore. , two week ago at 8:38.33 .
Fincham would not say if detectives believe the woman was killed by someone she knew or if it was a random attack .	Fincham would not say if detective believe the woman be kill by someone she know or if it be a random attack .
All other members of the Arizona delegation - Republican Sens .	all other member of the Arizona delegation - Republican Sens .
"I 'm just so happy for him , "" Andretti said ."	"I be just so happy for he , "" Andretti say ."
He confirmed that the economy in Iraq needs the support of all the companies specialized in the fields of reconstruction and not only in through finance alone but also with their experience and technology as well .	he confirm that the economy in Iraq need the support of all the company specialize in the field of reconstruction and not only in through finance alone but also with they experience and technology as well .
E - mail addresses can also be used / updated .	e - mail address can also be use / update .
This food - safety training meets the state Department of Agriculture requirements .	this food - safety training meet the state department of agriculture requirement .
"That started the spark that later turned into a conflagration climaxing into the confession of Mary Ann Gadian and Sherryl Desiree Jane "" Joy "" Tangan , two casual employees assigned to the office of former Vice Governor Felipe Constantino ."	"that start the spark that later turn into a conflagration climaxe into the confession of Mary Ann Gadian and Sherryl Desiree Jane "" Joy "" Tangan , two casual employee assign to the office of former vice Governor Felipe Constantino ."
Fort Wayne has always been known for their work ethic ; they re a hard - working , very well - rounded team , and they ve always played well against us .	Fort Wayne have always be know for they work ethic ; they be a hard - work , very well - round team , and they have always play well against we .
Gerry reportedly clung to a high tree trunk for survival .	Gerry reportedly cling to a high tree trunk for survival .
They began by appealing to the entertainment world for support , and within a year were raising money for the Nelson Mandela Freedom Fund .	they begin by appealing to the entertainment world for support , and within a year be raise money for the Nelson Mandela freedom Fund .
But Hiddink said there was still work to do .	but Hiddink say there be still work to do .
They ca nt tell because he is grabbing the referee , he is touching his shoulder , he is talking in a calm fashion , James said .	they can not tell because he be grab the referee , he be touch he shoulder , he be talk in a calm fashion , James say .
GARY â€ ” Mayor Scott L. King has declared a â€œcash crisisâ€ and has asked city department heads to put off all non - essential spending until June .	"GARY â€ "" Mayor Scott L. King have declare a â€œcash crisisâ€ and have ask city department head to put off all non - essential spending until June ."
And the board is unconcerned about the possibility of buying at what may be a market peak , as numerous massive pools of capital slosh around in search of property acquisitions .	and the board be unconcerned about the possibility of buy at what may be a market peak , as numerous massive pool of capital slosh around in search of property acquisition .
Brighter days also allow the cars to recharge their batteries for cloudy or rainy days .	brighter day also allow the car to recharge they battery for cloudy or rainy day .
However , uncomfortably warm periods frequently occur during the months immediately before or after summerâ€ ™ s beginning and end .	however , uncomfortably warm period frequently occur during the month immediately before or after summerâ€ ™ 's beginning and end .
Even if seven love something , it only takes one dissent to halt the song in it s tracks .	even if seven love something , it only take one dissent to halt the song in it 's track .
